timestamp,target_threshold,count,avg_duration_s,min_duration_s,max_duration_s,avg_expiry_s,avg_start_price,avg_end_price
2026-01-07T21:12:40.925Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:12:40.925Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:13:40.926Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:13:40.926Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:14:40.927Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:14:40.927Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:15:40.928Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:15:40.928Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:16:40.928Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:16:40.928Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:17:40.928Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:17:40.928Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:18:40.929Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:18:40.929Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:19:40.929Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:19:40.929Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:20:40.929Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:20:40.929Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:21:40.929Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:21:40.929Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:22:40.930Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:22:40.930Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:23:40.927Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:23:40.927Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:24:40.927Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:24:40.927Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:25:40.928Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:25:40.928Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:26:40.928Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:26:40.928Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:27:40.929Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:27:40.929Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:28:40.929Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:28:40.929Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:29:40.929Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:29:40.929Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:30:40.930Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:30:40.930Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:31:40.931Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:31:40.931Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:32:40.933Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:32:40.933Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:33:40.934Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:33:40.934Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:34:40.934Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:34:40.934Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:35:40.935Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:35:40.935Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:36:40.935Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:36:40.935Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:37:40.937Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:37:40.937Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:38:40.939Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:38:40.939Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:39:40.941Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:39:40.941Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:40:40.943Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:40:40.943Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:41:40.943Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:41:40.943Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:42:40.944Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:42:40.944Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:43:40.945Z,0.8,3,79.1,70.9,85.8,155,0.470,0.860
2026-01-07T21:43:40.945Z,0.9,2,75.7,70.9,80.5,145,0.460,0.900
2026-01-07T21:44:40.948Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:44:40.948Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:45:40.949Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:45:40.949Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:46:40.949Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:46:40.949Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:47:40.950Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:47:40.950Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:48:40.953Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:48:40.953Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:49:40.954Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:49:40.954Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:50:40.955Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:50:40.955Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:51:40.956Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:51:40.956Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:52:40.957Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:52:40.957Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:53:40.959Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:53:40.959Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:54:40.959Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:54:40.959Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
2026-01-07T21:55:40.959Z,0.8,7,72.7,48.5,86.1,92,0.464,0.847
2026-01-07T21:55:40.959Z,0.9,3,78.4,70.9,83.7,107,0.450,0.903
